Sample_Num,PPG_Sensor1_Raw,PPG_Sensor2_Raw
970,3221225844,3271580267
971,3472884084,1090551888
972,3808428404,3187716139
973,3456106868,3204476993
974,2952790389,3204488288
975,234881396,1090560012
976,3103785332,3221274707
977,3036676468,3187720261
978,3707765108,3204452388
979,3590324596,1073767574
980,3590324596,1090551868
981,3204448628,3187707952
982,3087008117,3217054033
983,1090519413,3271605425
984,2566914422,1090552039
985,520094070,3170926809
986,3841982838,3187695702
987,3976200566,3204509906
988,3690987894,3204493491
989,2113929590,1090519099
990,1979711862,3187703910
991,2046820726,3204461256
992,2466251126,1090523065
993,2684354934,3238035710
994,2986344822,3170930795
995,2902458742,3208679911
996,2650800502,3254817464
997,2835349878,1090551822
998,2868904310,3187712152
999,2499805558,3187687511
1000,2483028342,3204472938
1001,2533359990,3204500461
1002,2919235958,1090551883
1003,2650800502,3187691656
1004,2449473910,3204469166
1005,2466251126,1090581395
1006,2751463798,3238019096
1007,2264924534,3187679366
1008,2264924534,3187716161
1009,2315256182,3204485688
1010,2483028342,1090529675
1011,3019899254,3238019114
1012,2818572662,3187683445
1013,3103785334,3204485816
1014,2650800502,3238027138
1015,2835349878,1090552042
1016,2868904310,3170918548
1017,2785018230,3187732590
1018,2801795446,3204493256
1019,2650800502,1090544790
1020,1442840950,3221258397
1021,1627390326,3170943089
1022,2449473910,3204490891
1023,2785018230,3238003878
1024,1593835894,1090519118
1025,2113929590,3187732597
1026,2181038454,3204505173
1027,2264924534,3238002810
1028,2533359990,3170926759
1029,2617246070,3170926710
1030,2516582774,3187698792
1031,2617246070,3246416140
1032,2818572662,1107302518
1033,2298478966,1073774647
1034,2952790390,3187724412
1035,1442840950,3204468931
1036,2466251126,1090574422
1037,1509949814,1073741902
1038,419430773,3170910280
1039,3992977781,3196069377
1040,4076863861,1107330981
1041,2785018229,1090543615
1042,1979711861,1090535570
1043,2449473909,3187712105
1044,1593835893,3210758168
1045,2902458741,1132496134
1046,3053453685,1107296291
1047,3690987894,3170894052
1048,352321910,3175088151
1049,1375732086,1124109369
1050,1627390326,1090553530
1051,1962934646,1107316860
1052,2432696694,3208669401
1053,2432696694,1107327206
1054,2868904310,1090519124
1055,4194304374,3187712208
1056,2919235958,3187703897
1057,2852127094,3204500696
1058,1828716918,1098913132
1059,1023410550,1107312698
1060,234881398,3187679341
1061,553648501,3204472001
1062,4026532213,3238009078
1063,3825205621,1073774798
1064,3472884085,3170893828
1065,3909091702,3204472938
1066,184549750,3204503043
1067,67109237,1098923047
1068,3372220789,1107329028
1069,2986344821,3187695729
1070,3321889141,3204466798
1071,3238003061,1098934027
1072,2868904309,1107296261
1073,2667577717,3170902108
1074,3087008117,3217083796
1075,3707765109,1107350701
1076,3959423350,1090552061
1077,1207959926,3170894010
1078,1258291574,3187683409
1079,855638390,3204463728
1080,1291846006,1090528842
1081,1711276406,1090551971
1082,1627390326,3170918486
1083,1577058678,3204470808
1084,1325400438,3221280259
1085,1795162486,1090519267
1086,2080375158,3170918575
1087,2348810614,3187683444
1088,2164261238,3204501508
1089,2969567606,3221284287
1090,2667577718,1090552034
1091,2667577718,3170949251
1092,4110418294,3204464326
1093,4093641078,1090519162
1094,3942646134,1073774793
1095,4143972727,3170943213
1096,553648503,3187720293
1097,1140851063,3204468931
1098,771752311,1073789659
1099,385876343,1090519076
1100,939524471,3187723117
1101,1627390327,1107296506
1102,1929380215,1023429081
1103,2415919479,1090527485
1104,2533359991,3187691595
1105,2097152375,3204490763
1106,2097152375,1090551836
1107,1946157431,3187712009
1108,1526727031,3204452432
1109,1593835895,3204506113
1110,2298478967,3238059263
1111,2030043511,1090527366
1112,1325400439,3187687509
1113,2164261239,3217042821
1114,2516582775,1119914911
1115,1795162487,1107296338
1116,1224737142,3170918619
1117,3422552438,3187675221
1118,2768241014,3212901041
1119,1828716918,1107341363
1120,1660944758,3238002711
1121,503316854,3170922600
1122,989856118,3212871513
1123,1929380214,3254779952
1124,2566914422,1023434982
1125,3204448630,3187691619
1126,3087008118,3204454286
1127,1711276406,1107354241
1128,1728053622,3238035660
1129,234881398,1023469928
1130,838861173,3254788876
1131,4093641077,1124130517
1132,3758096758,3238002877
1133,838861174,3187695674
1134,1157628278,3210747786
1135,218104181,3271615700
1136,3472884085,1073799377
1137,3976200565,1040195756
1138,3925868917,3202392167
1139,3992977782,3279987222
1140,150995318,1132469804
1141,150995318,3254829110
1142,654311797,3187722383
1143,4127195510,3204499973
1144,402653557,3254835286
1145,3623879029,1073766564
1146,3825205621,1040220200
1147,3875537269,3187716147
1148,3992977782,3221258299
1149,335544694,1073758356
1150,402653558,1040240757
1151,637534582,3204492893
1152,637534582,3246394415
1153,503316854,3254780151
1154,788529526,3170920580
1155,402653557,3204496198
1156,4160749941,1107312796
1157,3925868918,1073750177
1158,100663669,1040203857
1159,3959423350,3196080717
1160,100663669,3254829039
1161,3808428405,1090568752
1162,3489661301,1090535519
1163,2986344821,3187732092
1164,3288334709,3238020870
